,ISSN,Title,Business Model,USD
968,0210-5705,Gastroenterología y Hepatología,Hybrid,2250
969,2444-3824,Gastroenterología y Hepatología (English Edition),Hybrid,**
970,0016-5107,Gastrointestinal Endoscopy,Hybrid,3450
971,0378-1119,Gene,Hybrid,2940
972,2666-3880,Gene and Genome Editing,Open access,3000
973,1567-133X,Gene Expression Patterns,Hybrid,2880
974,2452-0144,Gene Reports,Hybrid,2780
975,0016-6480,General and Comparative Endocrinology,Hybrid,3310
976,0163-8343,General Hospital Psychiatry,Hybrid,3090
977,1098-3600,Genetics in Medicine,Hybrid,4490
978,2949-7744,Genetics in Medicine Open,Open access,3200
979,0888-7543,Genomics,Open access,2650
980,1672-0229,"Genomics, Proteomics & Bioinformatics",Open access,3650
981,0016-6995,Geobios,Hybrid,2620
982,0009-2819,Geochemistry,Hybrid,3130
983,0016-7037,Geochimica et Cosmochimica Acta,Hybrid,3690
984,0016-7061,Geoderma,Open access,2800
985,2352-0094,Geoderma Regional,Hybrid,2010
986,2949-8910,Geoenergy Science and Engineering,Hybrid,3530
987,0016-7185,Geoforum,Hybrid,3480
988,2666-6839,Geography and Sustainability,Open access,1700
989,2352-3808,Geomechanics for Energy and the Environment,Hybrid,3480
990,0169-555X,Geomorphology,Hybrid,3300
991,1674-9871,Geoscience Frontiers,Open access,3000
992,2772-8838,Geosystems and Geoenvironment,Open access,2000
993,0266-1144,Geotextiles and Geomembranes,Hybrid,4090
994,0375-6505,Geothermics,Hybrid,2760
995,0197-4572,Geriatric Nursing,Hybrid,3000
996,2666-5425,Giant,Open access,2700
997,0921-8181,Global and Planetary Change,Hybrid,3260
998,2351-9894,Global Ecology and Conservation,Open access,2090
999,0959-3780,Global Environmental Change,Hybrid,5320
1000,2950-1385,Global Environmental Change Advances,Open access,1900
1001,2590-1133,Global Epidemiology,Open access,2200
1002,1044-0283,Global Finance Journal,Hybrid,2470
1003,2211-9124,Global Food Security,Hybrid,4140
1004,2949-916X,"Journal of Medicine, Surgery, and Public Health",Open access,1850
1005,2667-0097,Global Pediatrics,Open access,2000
1006,1342-937X,Gondwana Research,Hybrid,3700
1007,0740-624X,Government Information Quarterly,Hybrid,3430
1008,1524-0703,Graphical Models,Open access,1750
1009,2772-5774,Green Analytical Chemistry,Open access,1250
1010,2773-1537,Green Energy and Intelligent Transportation,Open access,1950
1011,2949-7205,Green Energy and Resources,Open access,1500
1012,2352-801X,Groundwater for Sustainable Development,Hybrid,2190
1013,1096-6374,Growth Hormone & IGF Research,Hybrid,3440
1014,0090-8258,Gynecologic Oncology,Hybrid,4020
1015,2352-5789,Gynecologic Oncology Reports,Open access,750
1016,2468-7189,Gynécologie Obstétrique Fertilité & Sénologie,Hybrid,2600
1017,0197-3975,Habitat International,Hybrid,3520
1018,2468-1229,Hand Surgery & Rehabilitation,Hybrid,2400
1019,2468-0672,HardwareX,Open access,500
1020,1568-9883,Harmful Algae,Hybrid,4270
1021,1353-8292,Health & Place,Hybrid,3160
1022,2949-9232,Health Care Transitions,Open access,2000
1023,0168-8510,Health Policy,Hybrid,3720
1024,2211-8837,Health Policy and Technology,Hybrid,3000
1025,2590-2296,Health Policy OPEN,Open access,2300
1026,2772-6320,Health Sciences Review,Open access,1900
1027,2772-4425,Healthcare Analytics,Open access,1500
1028,2213-0764,Healthcare: The Journal of Delivery Science and Innovation,Hybrid,3470
1029,0378-5955,Hearing Research,Hybrid,4010
1030,0147-9563,Heart & Lung,Hybrid,3310
1031,1547-5271,Heart Rhythm,Hybrid,4290
1032,2666-5018,Heart Rhythm O2,Open access,2150
1033,1443-9506,"Heart, Lung and Circulation",Hybrid,2860
1034,2214-0271,HeartRhythm Case Reports,Open access,1100
1035,2405-8440,Heliyon,Open access,2100
1036,1109-9666,Hellenic Journal of Cardiology,,**
1037,2531-1379,"Hematology, Transfusion and Cell Therapy",,**
1038,1658-3876,Hematology/Oncology and Stem Cell Therapy,,**
1039,1574-1818,High Energy Density Physics,Hybrid,2550
1040,2667-2952,High-Confidence Computing,Open access,1500
1041,1889-1837,Hipertensión y Riesgo Vascular,Hybrid,1320
1042,0315-0860,Historia Mathematica,Hybrid,2060
1043,2949-9283,hLife,Open access,2000
1044,0018-506X,Hormones and Behavior,Hybrid,3340
1045,1365-182X,HPB,Hybrid,3630
1046,2772-5014,Human Factors in Healthcare,Open access,1750
1047,2773-0441,Human Gene,Hybrid,2500
1048,2666-2477,Human Genetics and Genomics Advances,Open access,3300
1049,0198-8859,Human Immunology,Hybrid,3400
1050,0167-9457,Human Movement Science,Hybrid,3290
1051,2666-1497,Human Nutrition & Metabolism,Open access,2350
1052,0046-8177,Human Pathology,Hybrid,3460
1053,2772-736X,Human Pathology Reports,Open access,1040
1054,1053-4822,Human Resource Management Review,Hybrid,4430
1055,2773-207X,Hybrid Advances,Open access,1500
1056,0304-386X,Hydrometallurgy,Hybrid,4180
1057,2773-0492,Hygiene and Environmental Health Advances,Open access,2200
1058,0386-1112,IATSS Research,Open access,1450
1059,2667-2421,IBRO Neuroscience Reports,Open access,1500
1060,0019-1035,Icarus,Hybrid,3830
1061,2405-9595,ICT Express,Open access,1500
1062,2214-2509,IDCases,Open access,1080
1063,2468-6018,IFAC Journal of Systems and Control,Hybrid,3300
1064,2405-8963,IFAC-PapersOnLine,,**
1065,2949-7086,iGIE,Open access,1800
1066,2468-600X,IHJ Cardiovascular Case Reports,Open access,400
1067,0970-3896,IIMB Management Review,Open access,1200
1068,2352-9067,IJC Heart & Vasculature,Open access,2490
1069,2949-9151,IJID One Health,Open access,1750
1070,2772-7076,IJID Regions,Open access,1200
1071,2772-9478,iLIVER,Open access,1600
1072,0262-8856,Image and Vision Computing,Hybrid,2270
1073,1776-9817,Imagerie de la Femme,Hybrid,2020
1074,1074-7613,Immunity,Hybrid,9080
1075,2590-0188,Immuno-Oncology and Technology,Open access,3020
1076,0171-2985,Immunobiology,Hybrid,2500
1077,2667-1190,ImmunoInformatics,Open access,1790
1078,0165-2478,Immunology Letters,Hybrid,3120
1079,2542-3606,In Analysis,Hybrid,1640
1080,0019-3577,Indagationes Mathematicae,Hybrid,1550
1081,0019-4832,Indian Heart Journal,Open access,360
1082,0255-0857,Indian Journal of Medical Microbiology,Hybrid,2070
1083,0972-6292,Indian Pacing and Electrophysiology Journal,Open access,550
1084,0926-6690,Industrial Crops and Products,Hybrid,3780
1085,0019-8501,Industrial Marketing Management,Hybrid,3500
1086,0163-6383,Infant Behavior and Development,Hybrid,3190
1087,2590-0889,Infection Prevention in Practice,Open access,945
1088,2468-0451,"Infection, Disease & Health",Hybrid,1850
1089,1567-1348,"Infection, Genetics and Evolution",Open access,2250
1090,2666-9919,Infectious Diseases Now,Hybrid,1640
1091,2772-431X,Infectious Medicine,Open access,2000
1092,2352-9148,Informatics in Medicine Unlocked,Open access,1810
1093,0378-7206,Information and Management,Hybrid,3570
1094,0890-5401,Information and Computation,Hybrid,2630
1095,1471-7727,Information and Organization,Hybrid,3670
1096,0950-5849,Information and Software Technology,Hybrid,3350
1097,0167-6245,Information Economics and Policy,Hybrid,3100
1098,1566-2535,Information Fusion,Hybrid,4650
1099,0306-4573,Information Processing & Management,Hybrid,3220
1100,2214-3173,Information Processing in Agriculture,Open access,2000
1101,0020-0190,Information Processing Letters,Hybrid,2200
1102,0020-0255,Information Sciences,Hybrid,3330
1103,0306-4379,Information Systems,Hybrid,2970
1104,1350-4495,Infrared Physics & Technology,Hybrid,2800
1105,0020-1383,Injury,Hybrid,3410
1106,2949-7531,Innovation and Green Development,Open access,1900
1107,1466-8564,Innovative Food Science and Emerging Technologies,Hybrid,4210
1108,2950-2128,Innovative Practice in Breast Health,Open access,2740
1109,1387-7003,Inorganic Chemistry Communications,Hybrid,3320
1110,0020-1693,Inorganica Chimica Acta,Hybrid,3390
1111,0965-1748,Insect Biochemistry and Molecular Biology,Hybrid,3750
1112,0167-6687,Insurance: Mathematics and Economics,Hybrid,2960
1113,0167-9260,Integration,Hybrid,2150
1114,2213-4220,Integrative Medicine Research,Open access,1700
1115,0160-2896,Intelligence,Hybrid,3300
1116,2666-5212,Intelligence-Based Medicine,Open access,1950
1117,2667-1026,Intelligent Medicine,Open access,1100
1118,2667-3053,Intelligent Systems with Applications,Open access,1500
1119,0964-3397,Intensive and Critical Care Nursing,Hybrid,3450
1120,2214-7519,Interdisciplinary Neurosurgery,Open access,2000
1121,0966-9795,Intermetallics,Hybrid,2940
1122,0964-8305,International Biodeterioration & Biodegradation,Hybrid,3760
1123,0969-5931,International Business Review,Hybrid,3920
1124,0735-1933,International Communications in Heat and Mass Transfer,Hybrid,3400
1125,0958-6946,International Dairy Journal,Hybrid,3430
1126,0020-6539,International Dental Journal,Open access,2550
1127,2110-7017,International Economics,Hybrid,3210
1128,1755-599X,International Emergency Nursing,Hybrid,3110
1129,1567-5769,International Immunopharmacology,Hybrid,3130
1130,0020-7519,International Journal for Parasitology,Hybrid,2500
1131,2211-3207,International Journal for Parasitology: Drugs and Drug Resistance,Open access,2400
1132,2213-2244,International Journal for Parasitology: Parasites and Wildlife,Open access,1930
1133,1467-0895,International Journal of Accounting Information Systems,Hybrid,3800
1134,0143-7496,International Journal of Adhesion and Adhesives,Hybrid,3350
1135,2214-1391,International Journal of Africa Nursing Sciences,Open access,2140
1136,0924-8579,International Journal of Antimicrobial Agents,Hybrid,3280
1137,1569-8432,International Journal of Applied Earth Observation and Geoinformation,Open access,2640
1138,0888-613X,International Journal of Approximate Reasoning,Hybrid,2960
1139,0141-8130,International Journal of Biological Macromolecules,Hybrid,4100
1140,0167-5273,International Journal of Cardiology,Hybrid,3340
1141,2772-4875,International Journal of Cardiology: Cardiovascular Risk and Prevention,Open access,2800
1142,2666-6685,International Journal of Cardiology Congenital Heart Disease,Open access,2000
1143,2212-8689,International Journal of Child-Computer Interaction,Hybrid,3250
1144,1697-2600,International Journal of Clinical and Health Psychology,Open access,2450
1145,0166-5162,International Journal of Coal Geology,Hybrid,4270
1146,1874-5482,International Journal of Critical Infrastructure Protection,Hybrid,2740
1147,2212-4209,International Journal of Disaster Risk Reduction,Hybrid,2510
1148,0955-3959,International Journal of Drug Policy,Hybrid,4070
1149,0738-0593,International Journal of Educational Development,Hybrid,3260
1150,0883-0355,International Journal of Educational Research,Hybrid,2930
1151,2666-3740,International Journal of Educational Research Open,Open access,1490
1152,0142-0615,International Journal of Electrical Power & Energy Systems,Hybrid,3500
1153,1452-3981,International Journal of Electrochemical Science,Open access,1100
1154,0020-7225,International Journal of Engineering Science,Hybrid,4890
1155,0142-1123,International Journal of Fatigue,Hybrid,3670
1156,0168-1605,International Journal of Food Microbiology,Hybrid,4180
1157,0169-2070,International Journal of Forecasting,Hybrid,1500
1158,1878-450X,International Journal of Gastronomy and Food Science,Hybrid,2990
1159,1750-5836,International Journal of Greenhouse Gas Control,Hybrid,3980
1160,0142-727X,International Journal of Heat and Fluid Flow,Hybrid,3190
1161,0017-9310,International Journal of Heat and Mass Transfer,Hybrid,4160
1162,0278-4319,International Journal of Hospitality Management,Hybrid,3830
1163,1071-5819,International Journal of Human-Computer Studies,Hybrid,3640
1164,0360-3199,International Journal of Hydrogen Energy,Hybrid,3400
1165,1438-4639,International Journal of Hygiene and Environmental Health,Hybrid,3540
1166,0734-743X,International Journal of Impact Engineering,Hybrid,3860
1167,0169-8141,International Journal of Industrial Ergonomics,Hybrid,2630
1168,0167-7187,International Journal of Industrial Organization,Hybrid,3070
1169,1201-9712,International Journal of Infectious Diseases,Open access,2500
1170,0268-4012,International Journal of Information Management,Hybrid,3150
1171,2667-0968,International Journal of Information Management Data Insights,Open access,1720
1172,0147-1767,International Journal of Intercultural Relations,Hybrid,3110
1173,0160-2527,International Journal of Law and Psychiatry,Hybrid,3540
1174,1756-0616,"International Journal of Law, Crime and Justice",Hybrid,2990
1175,0890-6955,International Journal of Machine Tools and Manufacture,Hybrid,4840
1176,1387-3806,International Journal of Mass Spectrometry,Hybrid,3870
1177,0020-7403,International Journal of Mechanical Sciences,Hybrid,4240
1178,1386-5056,International Journal of Medical Informatics,Hybrid,3210
1179,1438-4221,International Journal of Medical Microbiology,Open access,2590
1180,2095-2686,International Journal of Mining Science and Technology,,**
1181,0301-9322,International Journal of Multiphase Flow,Hybrid,3680
1182,2092-6782,International Journal of Naval Architecture and Ocean Engineering,,**
1183,0020-7462,International Journal of Non-Linear Mechanics,Hybrid,3340
1184,2352-0132,International Journal of Nursing Sciences,Open access,**
1185,0020-7489,International Journal of Nursing Studies,Hybrid,4820
1186,2666-142X,International Journal of Nursing Studies Advances,Open access,2420
1187,0959-289X,International Journal of Obstetric Anesthesia,Hybrid,3330
1188,0901-5027,International Journal of Oral and Maxillofacial Surgery,Hybrid,4160
1189,1878-1241,International Journal of Orthopaedic and Trauma Nursing,Hybrid,2670
1190,1746-0689,International Journal of Osteopathic Medicine,Hybrid,2730
1191,1879-9817,International Journal of Paleopathology,Hybrid,1910
1192,0165-5876,International Journal of Pediatric Otorhinolaryngology,Hybrid,3460
1193,0378-5173,International Journal of Pharmaceutics,Hybrid,4190
1194,2590-1567,International Journal of Pharmaceutics: X,Open access,2530
1195,0749-6419,International Journal of Plasticity,Hybrid,3900
1196,0308-0161,International Journal of Pressure Vessels and Piping,Hybrid,3410
1197,0925-5273,International Journal of Production Economics,Hybrid,3930
1198,0263-7863,International Journal of Project Management,Hybrid,3200
1199,0167-8760,International Journal of Psychophysiology,Hybrid,3040
1200,0360-3016,International Journal of Radiation Oncology - Biology - Physics,Hybrid,4070
1201,0263-4368,International Journal of Refractory Metals and Hard Materials,Hybrid,3450
1202,0140-7007,International Journal of Refrigeration,Hybrid,2820
1203,0167-8116,International Journal of Research in Marketing,Hybrid,3320
1204,1365-1609,International Journal of Rock Mechanics and Mining Sciences,Hybrid,3640
1205,0020-7683,International Journal of Solids and Structures,Hybrid,3500
1206,2210-2612,International Journal of Surgery Case Reports,Open access,1800
1207,2405-8572,International Journal of Surgery Open,Open access,1700
1208,1290-0729,International Journal of Thermal Sciences,Hybrid,3660
1209,2666-2027,International Journal of Thermofluids,Open access,1890
1210,1761-7227,International Orthodontics,Hybrid,2090
1211,1059-0560,International Review of Economics & Finance,Hybrid,2680
1212,1477-3880,International Review of Economics Education,Hybrid,2910
1213,1057-5219,International Review of Financial Analysis,Hybrid,3360
1214,0144-8188,International Review of Law and Economics,Hybrid,2940
1215,2214-7829,Internet Interventions,Open access,3110
1216,2542-6605,Internet of Things,Hybrid,2010
1217,2772-5944,Interventional Pain Medicine,Open access,2400
1218,2772-4441,Invention Disclosure,Open access,800
1219,2667-2588,IPEM-Translation,Open access,1550
1220,1959-0318,IRBM,Hybrid,1950
1221,0019-0578,ISA Transactions,Hybrid,3950
1222,2589-0042,iScience,Open access,3150
1223,0924-2716,ISPRS Journal of Photogrammetry and Remote Sensing,Hybrid,3310
1224,2667-3932,ISPRS Open Journal of Photogrammetry and Remote Sensing,Open access,1800
1225,2949-7329,JAACAP Open,Open access,2600
1226,2352-5126,JAAD Case Reports,Open access,750
1227,2666-3287,JAAD International,Open access,2575
1228,2772-963X,JACC: Advances,Open access,2550
1229,2772-3747,JACC: Asia,Open access,3370
1230,2452-302X,JACC: Basic to Translational Science,Open access,4530
1231,2666-0873,JACC: CardioOncology,Open access,3396
1232,1936-878X,JACC: Cardiovascular Imaging,Hybrid,4500
1233,1936-8798,JACC: Cardiovascular Interventions,Hybrid,4500
1234,2666-0849,JACC: Case Reports,Open access,800
1235,2405-500X,JACC: Clinical Electrophysiology,Hybrid,4500
1236,2213-1779,JACC: Heart Failure,Hybrid,4500
1237,2772-414X,JADA Foundational Science,Open access,2500
1238,0922-1425,Japan and the World Economy,Hybrid,2750
1239,1882-7616,Japanese Dental Science Review,Open access,2160
1240,2949-9623,JAPhA Pharmacotherapy,Open access,1900
1241,2949-9690,JAPhA Practice Innovations,Open access,850
1242,2666-934X,JCIS Open,Open access,1280
1243,2666-9102,JDS Communications,Open access,1275
1244,2773-2320,JEM Reports,Open access,700
1245,2949-8899,JFO Open Ophthalmology,Open access,1640
1246,2589-5559,JHEP Reports,Open access,2900
1247,2950-1334,JHLT Open,Open access,2100
1248,2667-0267,JID Innovations,Open access,2000
1249,2542-4513,JMV - Journal de Médecine Vasculaire,Hybrid,2080
1250,1297-319X,Joint Bone Spine,Hybrid,3020
1251,0021-7557,Jornal de Pediatria,,**
1252,2772-9648,JOS Case Reports,Open access,800
1253,2542-4351,Joule,Hybrid,9080
1254,2543-3431,Journal d'imagerie diagnostique et interventionnelle,Hybrid,2000
1255,1878-786X,Journal de Chirurgie Viscérale,Hybrid,2230
1256,0021-7824,Journal de Mathématiques Pures et Appliquées,Hybrid,2290
1257,0987-7983,Journal de Pédiatrie et de Puériculture,Hybrid,1960
1258,0762-915X,Journal de Traumatologie du Sport,Hybrid,1840
1259,2211-4238,Journal Européen des Urgences et de Réanimation,Hybrid,2130
1260,1617-1381,Journal for Nature Conservation,Hybrid,2530
1261,0181-5512,Journal Français D'Ophtalmologie,Hybrid,2440
1262,1091-8531,Journal of AAPOS,Hybrid,3000
1263,0165-4101,Journal of Accounting and Economics,Hybrid,4340
1264,0278-4254,Journal of Accounting and Public Policy,Hybrid,3170
1265,0748-5751,Journal of Accounting Education,Hybrid,4060
1266,1054-139X,Journal of Adolescent Health,Hybrid,3270
1267,2666-3309,Journal of Advanced Joining Processes,Open access,1820
1268,2090-1232,Journal of Advanced Research,Open access,2000
1269,0021-8502,Journal of Aerosol Science,Hybrid,2440
1270,0165-0327,Journal of Affective Disorders,Hybrid,3210
1271,2666-9153,Journal of Affective Disorders Reports,Open access,2200
1272,1464-343X,Journal of African Earth Sciences,Hybrid,2650
1273,0890-4065,Journal of Aging Studies,Hybrid,3210
1274,2666-1543,Journal of Agriculture and Food Research,Open access,1890
1275,0969-6997,Journal of Air Transport Management,Hybrid,2740
1276,0021-8693,Journal of Algebra,Hybrid,3020
1277,0091-6749,Journal of Allergy and Clinical Immunology,Hybrid,4000
1278,2772-8293,Journal of Allergy and Clinical Immunology: Global,Open access,2000
1279,0925-8388,Journal of Alloys and Compounds,Hybrid,3410
1280,2949-9178,Journal of Alloys and Metallurgical Systems,Open access,1500
1281,0165-2370,Journal of Analytical and Applied Pyrolysis,Hybrid,3550
1282,0278-4165,Journal of Anthropological Archaeology,Hybrid,3270
1283,0887-6185,Journal of Anxiety Disorders,Hybrid,3980
1284,0193-3973,Journal of Applied Developmental Psychology,Hybrid,3000
1285,0926-9851,Journal of Applied Geophysics,Hybrid,3000
1286,1056-6171,Journal of Applied Poultry Research,Open access,2000
1287,2214-7861,Journal of Applied Research on Medicinal and Aromatic Plants,Hybrid,3280
1288,0021-9045,Journal of Approximation Theory,Hybrid,2720
1289,0305-4403,Journal of Archaeological Science,Hybrid,3920
1290,2352-409X,Journal of Archaeological Science: Reports,Hybrid,2570
1291,0140-1963,Journal of Arid Environments,Hybrid,2950
1292,0883-5403,Journal of Arthroplasty,Hybrid,4380
1293,2287-884X,Journal of Asia-Pacific Biodiversity,,**
1294,1226-8615,Journal of Asia-Pacific Entomology,Hybrid,3000
1295,1367-9120,Journal of Asian Earth Sciences,Hybrid,3430
1296,2590-0560,Journal of Asian Earth Sciences: X,Open access,2170
1297,1049-0078,Journal of Asian Economics,Hybrid,2750
1298,1364-6826,Journal of Atmospheric and Solar-Terrestrial Physics,Hybrid,2580
1299,0896-8411,Journal of Autoimmunity,Hybrid,5020
1300,0975-9476,Journal of Ayurveda and Integrative Medicine,Open access,1800
1301,0378-4266,Journal of Banking & Finance,Hybrid,3120
1302,0005-7916,Journal of Behavior Therapy and Experimental Psychiatry,Hybrid,3120
1303,2589-9791,Journal of Behavioral and Cognitive Therapy,Hybrid,1500
1304,2214-8043,Journal of Behavioral and Experimental Economics,Hybrid,2560
1305,2214-6350,Journal of Behavioral and Experimental Finance,Hybrid,3410
1306,0021-9258,Journal of Biological Chemistry,Open access,2800
1307,0021-9290,Journal of Biomechanics,Hybrid,3290
1308,1532-0464,Journal of Biomedical Informatics,Hybrid,2980
1309,1389-1723,Journal of Bioscience and Bioengineering,,**
1310,0168-1656,Journal of Biotechnology,Hybrid,3680
1311,1360-8592,Journal of Bodywork and Movement Therapies,Hybrid,2670
1312,2212-1374,Journal of Bone Oncology,Open access,2550
1313,2352-7102,Journal of Building Engineering,Hybrid,3050
1314,0148-2963,Journal of Business Research,Hybrid,3670
1315,0883-9026,Journal of Business Venturing,Hybrid,4080
1316,2667-2774,Journal of Business Venturing Design,Hybrid,2000
1317,2352-6734,Journal of Business Venturing Insights,Hybrid,2810
1318,2213-5383,Journal of Cancer Policy,Hybrid,2910
1319,1071-9164,Journal of Cardiac Failure,Hybrid,3390
1320,0914-5087,Journal of Cardiology,Hybrid,3000
1321,1878-5409,Journal of Cardiology Cases,Hybrid,1500
1322,1053-0770,Journal of Cardiothoracic and Vascular Anesthesia,Hybrid,3070
1323,1934-5925,Journal of Cardiovascular Computed Tomography,Hybrid,3340
1324,2667-2545,Journal of Cartilage & Joint Preservation,Open access,1400
1325,0021-9517,Journal of Catalysis,Hybrid,3800
1326,0733-5210,Journal of Cereal Science,Hybrid,3560
1327,0891-0618,Journal of Chemical Neuroanatomy,Hybrid,3140
1328,1556-3499,Journal of Chiropractic Humanities,Hybrid,3000
1329,1556-3707,Journal of Chiropractic Medicine,Hybrid,3300
1330,1755-5345,Journal of Choice Modelling,Hybrid,3200
1331,0021-9673,Journal of Chromatography A,Hybrid,3490
1332,1570-0232,Journal of Chromatography B,Hybrid,3400
1333,2772-3917,Journal of Chromatography Open,Open access,1900
1334,0959-6526,Journal of Cleaner Production,Hybrid,4100
1335,2949-7280,Journal of Climate Finance,Hybrid,2400
1336,0973-6883,Journal of Clinical and Experimental Hepatology,Hybrid,3150
1337,2214-6237,Journal of Clinical and Translational Endocrinology,Open access,2800
1338,2214-6245,Journal of Clinical and Translational Endocrinology Case Reports,Open access,1130
1339,0952-8180,Journal of Clinical Anesthesia,Hybrid,3720
1340,1094-6950,Journal of Clinical Densitometry,Hybrid,3000
1341,0895-4356,Journal of Clinical Epidemiology,Hybrid,3870
1342,1933-2874,Journal of Clinical Lipidology,Hybrid,3510
1343,0967-5868,Journal of Clinical Neuroscience,Hybrid,3720
1344,0976-5662,Journal of Clinical Orthopaedics and Trauma,Hybrid,3000
1345,2405-5794,Journal of Clinical Tuberculosis and Other Mycobacterial Diseases,Open access,1860
1346,1386-6532,Journal of Clinical Virology,Hybrid,3470
1347,2667-0380,Journal of Clinical Virology Plus,Open access,2000
1348,2213-297X,Journal of Co-operative Organization and Management,Hybrid,3090
1349,2212-9820,Journal of CO2 Utilization,Open access,2900
1350,0021-9797,Journal of Colloid and Interface Science,Hybrid,3860
1351,0097-3165,"Journal of Combinatorial Theory, Series A",Hybrid,3320
1352,0095-8956,"Journal of Combinatorial Theory, Series B",Hybrid,3420
1353,2405-8513,Journal of Commodity Markets,Hybrid,2640
1354,0021-9924,Journal of Communication Disorders,Hybrid,3270
1355,0147-5967,Journal of Comparative Economics,Hybrid,3510
1356,0021-9975,Journal of Comparative Pathology,Hybrid,3240
1357,0885-064X,Journal of Complexity,Hybrid,2200
1358,2772-8277,Journal of Computational Algebra,Open access,1750
1359,0377-0427,Journal of Computational and Applied Mathematics,Hybrid,3040
1360,2772-4158,Journal of Computational Mathematics and Data Science,Open access,1000
1361,0021-9991,Journal of Computational Physics,Hybrid,3750
1362,2590-0552,Journal of Computational Physics: X,Open access,1690
1363,1877-7503,Journal of Computational Science,Hybrid,2810
1364,0022-0000,Journal of Computer and System Sciences,Hybrid,2520
1365,2590-1184,Journal of Computer Languages,Hybrid,2170
1366,0143-974X,Journal of Constructional Steel Research,Hybrid,4020
1367,0169-7722,Journal of Contaminant Hydrology,Hybrid,3320
1368,1815-5669,Journal of Contemporary Accounting and Economics,Hybrid,3280
1369,2212-1447,Journal of Contextual Behavioral Science,Hybrid,2500
1370,0168-3659,Journal of Controlled Release,Hybrid,4540
1371,0929-1199,Journal of Corporate Finance,Hybrid,3500
1372,1010-5182,Journal of Cranio-Maxillofacial Surgery,Hybrid,3400
1373,2713-3745,Journal of Creativity,Open access,1300
1374,0047-2352,Journal of Criminal Justice,Hybrid,3510
1375,0883-9441,Journal of Critical Care,Hybrid,3250
1376,0022-0248,Journal of Crystal Growth,Hybrid,2990
1377,1296-2074,Journal of Cultural Heritage,Hybrid,2780
1378,2950-1059,Journal of Cycling and Micromobility Research,Open access,1800
1379,1569-1993,Journal of Cystic Fibrosis,Hybrid,4070
1380,0022-0302,Journal of Dairy Science,Open access,3500
1381,1991-7902,Journal of Dental Sciences,Open access,**
1382,0300-5712,Journal of Dentistry,Hybrid,3880
1383,0923-1811,Journal of Dermatological Science,Hybrid,3730
1384,2212-571X,Journal of Destination Marketing & Management,Hybrid,3590
1385,0304-3878,Journal of Development Economics,Hybrid,4030
1386,1056-8727,Journal of Diabetes and its Complications,Hybrid,3100
1387,0022-0396,Journal of Differential Equations,Hybrid,2930
1388,1773-2247,Journal of Drug Delivery Science and Technology,Hybrid,3300
1389,0304-4076,Journal of Econometrics,Hybrid,3700
1390,0167-2681,Journal of Economic Behavior & Organization,Hybrid,2660
1391,2949-7914,Journal of Economic Criminology,Open access,1500
1392,0165-1889,Journal of Economic Dynamics and Control,Hybrid,2780
1393,0167-4870,Journal of Economic Psychology,Hybrid,3400
1394,0022-0531,Journal of Economic Theory,Hybrid,2810
1395,0148-6195,Journal of Economics and Business,Hybrid,2640
1396,1572-6657,Journal of Electroanalytical Chemistry,Hybrid,2880
1397,0022-0736,Journal of Electrocardiology,Hybrid,2910
1398,1050-6411,Journal of Electromyography and Kinesiology,Hybrid,3350
1399,0368-2048,Journal of Electron Spectroscopy and Related Phenomena,Hybrid,2960
1400,0304-3886,Journal of Electrostatics,Hybrid,2620
1401,0099-1767,Journal of Emergency Nursing,Hybrid,2500
1402,0927-5398,Journal of Empirical Finance,Hybrid,2820
1403,0099-2399,Journal of Endodontics,Hybrid,3790
1404,2949-8384,Journal of Endometriosis and Uterine Disorders,Open access,1530
1405,2095-4956,Journal of Energy Chemistry,Hybrid,2750
1406,2352-152X,Journal of Energy Storage,Hybrid,2940
1407,0923-4748,Journal of Engineering and Technology Management,Hybrid,2780
1408,2307-1877,Journal of Engineering Research,Open access,1100
1409,1475-1585,Journal of English for Academic Purposes,Hybrid,3370
1410,2213-3437,Journal of Environmental Chemical Engineering,Hybrid,3130
1411,0095-0696,Journal of Environmental Economics and Management,Hybrid,3480
1412,0301-4797,Journal of Environmental Management,Hybrid,3700
1413,0272-4944,Journal of Environmental Psychology,Hybrid,3900
1414,0265-931X,Journal of Environmental Radioactivity,Hybrid,3850
1415,1001-0742,Journal of Environmental Sciences,Hybrid,3000
1416,2949-9054,Journal of Equine Rehabilitation,Open access,2000
1417,0737-0806,Journal of Equine Veterinary Science,Hybrid,3030
1418,0378-8741,Journal of Ethnopharmacology,Hybrid,3500
1419,1532-3382,Journal of Evidence-Based Dental Practice,Hybrid,3420
1420,1728-869X,Journal of Exercise Science & Fitness,Open access,1000
1421,1557-5063,Journal of Exotic Pet Medicine,Hybrid,3380
1422,0022-0965,Journal of Experimental Child Psychology,Hybrid,3210
1423,0022-0981,Journal of Experimental Marine Biology and Ecology,Hybrid,3090
1424,0022-1031,Journal of Experimental Social Psychology,Hybrid,2900
1425,1877-8585,Journal of Family Business Strategy,Hybrid,3440
1426,0304-405X,Journal of Financial Economics,Hybrid,4250
1427,1042-9573,Journal of Financial Intermediation,Hybrid,3840
1428,1386-4181,Journal of Financial Markets,Hybrid,2860
1429,1572-3089,Journal of Financial Stability,Hybrid,3240
1430,0094-730X,Journal of Fluency Disorders,Hybrid,3810
